Source_tissue,Target_tissue,cytokine_description,cytokine_ensemlb,cytokine_genename,cytokine_uniprot,Receptor_description,Receptor_ensembl,Receptor_genename,Receptor_uniprot,reference,action_sentiment,num_papers,enrichment_score,chains
bone marrow,neutrophil,Pro-platelet basic protein,ENSG00000163736,PPBP,P02775,C-X-C motif chemokine receptor 2,ENSG00000180871,CXCR2,P25025,NA,NA,NA,NA,bone marrow-->PPBP-->CXCR2-->neutrophil
bone marrow,neutrophil,Platelet factor 4,ENSG00000163737,PF4,P02776,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,bone marrow-->PF4-->SDC2-->neutrophil
bone marrow,neutrophil,Platelet factor 4,ENSG00000163737,PF4,P02776,Thrombomodulin,ENSG00000178726,THBD,P07204,NA,NA,NA,NA,bone marrow-->PF4-->THBD-->neutrophil
bone marrow,neutrophil,Interleukin 3,ENSG00000164399,IL3,P08700,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,bone marrow-->IL3-->CSF2RB-->neutrophil
bone marrow,neutrophil,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,C-X-C motif chemokine receptor 1,ENSG00000163464,CXCR1,P25024,NA,NA,NA,NA,bone marrow-->CXCL8-->CXCR1-->neutrophil
bone marrow,neutrophil,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,bone marrow-->CXCL8-->SDC2-->neutrophil
bone marrow,neutrophil,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,C-X-C motif chemokine receptor 2,ENSG00000180871,CXCR2,P25025,NA,NA,NA,NA,bone marrow-->CXCL8-->CXCR2-->neutrophil
bone marrow,neutrophil,Tumor necrosis factor,ENSG00000232810,TNF,P01375,TNF receptor superfamily member 1A,ENSG00000067182,TNFRSF1A,P19438,NA,NA,NA,NA,bone marrow-->TNF-->TNFRSF1A-->neutrophil
bone marrow,neutrophil,Tumor necrosis factor,ENSG00000232810,TNF,P01375,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,bone marrow-->TNF-->LTBR-->neutrophil
bone marrow,NK-cell,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL7-->ACKR2-->NK-cell
bone marrow,NK-cell,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL4L2-->ACKR2-->NK-cell
bone marrow,NK-cell,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL3L1-->ACKR2-->NK-cell
bone marrow,NK-cell,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL3-->ACKR2-->NK-cell
bone marrow,non-classical monocyte,Tumor necrosis factor,ENSG00000232810,TNF,P01375,TNF receptor superfamily member 1B,ENSG00000028137,TNFRSF1B,P20333,NA,NA,NA,NA,bone marrow-->TNF-->TNFRSF1B-->non-classical monocyte
bone marrow,non-classical monocyte,Tumor necrosis factor,ENSG00000232810,TNF,P01375,Lymphotoxin beta receptor,ENSG00000111321,LTBR,P36941,NA,NA,NA,NA,bone marrow-->TNF-->LTBR-->non-classical monocyte
bone marrow,placenta,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL7-->ACKR2-->placenta
bone marrow,placenta,Platelet factor 4,ENSG00000163737,PF4,P02776,Protein C receptor,ENSG00000101000,PROCR,Q9UNN8,NA,NA,NA,NA,bone marrow-->PF4-->PROCR-->placenta
bone marrow,placenta,Interleukin 3,ENSG00000164399,IL3,P08700,Colony stimulating factor 2 receptor beta common subunit,ENSG00000100368,CSF2RB,P32927,NA,NA,NA,NA,bone marrow-->IL3-->CSF2RB-->placenta
bone marrow,placenta,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL4L2-->ACKR2-->placenta
bone marrow,placenta,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL3L1-->ACKR2-->placenta
bone marrow,placenta,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL3-->ACKR2-->placenta
bone marrow,plasmacytoid DC,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,bone marrow-->CCL7-->CXCR3-->plasmacytoid DC
bone marrow,plasmacytoid DC,Platelet factor 4,ENSG00000163737,PF4,P02776,C-X-C motif chemokine receptor 3,ENSG00000186810,CXCR3,P49682,NA,NA,NA,NA,bone marrow-->PF4-->CXCR3-->plasmacytoid DC
bone marrow,plasmacytoid DC,Interleukin 3,ENSG00000164399,IL3,P08700,Interleukin 3 receptor subunit alpha,ENSG00000185291,IL3RA,P26951,NA,NA,NA,NA,bone marrow-->IL3-->IL3RA-->plasmacytoid DC
bone marrow,plasmacytoid DC,Tumor necrosis factor,ENSG00000232810,TNF,P01375,TNF receptor superfamily member 21,ENSG00000146072,TNFRSF21,O75509,NA,NA,NA,NA,bone marrow-->TNF-->TNFRSF21-->plasmacytoid DC
bone marrow,salivary gland,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,bone marrow-->CCL7-->ACKR4-->salivary gland
bone marrow,salivary gland,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL7-->ACKR2-->salivary gland
bone marrow,salivary gland,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL4L2-->ACKR2-->salivary gland
bone marrow,salivary gland,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL3L1-->ACKR2-->salivary gland
bone marrow,salivary gland,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,bone marrow-->CCL3-->ACKR2-->salivary gland
bone marrow,T-reg,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 10,ENSG00000184451,CCR10,P46092,NA,NA,NA,NA,bone marrow-->CCL7-->CCR10-->T-reg
bone marrow,T-reg,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,bone marrow-->CCL4L2-->CCR8-->T-reg
bone marrow,T-reg,C-C motif chemokine ligand 3,ENSG00000277632,CCL3,P10147,C-C motif chemokine receptor 4,ENSG00000183813,CCR4,P51679,NA,NA,NA,NA,bone marrow-->CCL3-->CCR4-->T-reg
bone marrow,thyroid gland,Platelet factor 4,ENSG00000163737,PF4,P02776,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,bone marrow-->PF4-->SDC2-->thyroid gland
bone marrow,thyroid gland,C-X-C motif chemokine ligand 8,ENSG00000169429,CXCL8,P10145,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,bone marrow-->CXCL8-->SDC2-->thyroid gland
bone marrow,urinary bladder,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,bone marrow-->CCL4L2-->CCR8-->urinary bladder
brain,basophil,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,brain-->CCL3L1-->CCR3-->basophil
brain,eosinophil,Interleukin 9,ENSG00000145839,IL9,P15248,Interleukin 9 receptor,ENSG00000124334,IL9R,Q01113,NA,NA,NA,NA,brain-->IL9-->IL9R-->eosinophil
brain,eosinophil,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,brain-->CCL3L1-->ACKR2-->eosinophil
brain,eosinophil,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,brain-->CCL3L1-->CCR3-->eosinophil
brain,MAIT T-cell,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,brain-->CCL3L1-->CCR5-->MAIT T-cell
brain,memory B-cell,Interferon alpha 1,ENSG00000197919,IFNA1,P01562,Complement C3d receptor 2,ENSG00000117322,CR2,P20023,NA,NA,NA,NA,brain-->IFNA1-->CR2-->memory B-cell
brain,memory B-cell,Interferon alpha 13,ENSG00000233816,IFNA13,P01562,Complement C3d receptor 2,ENSG00000117322,CR2,P20023,NA,NA,NA,NA,brain-->IFNA13-->CR2-->memory B-cell
brain,naive B-cell,Interferon alpha 1,ENSG00000197919,IFNA1,P01562,Complement C3d receptor 2,ENSG00000117322,CR2,P20023,NA,NA,NA,NA,brain-->IFNA1-->CR2-->naive B-cell
brain,naive B-cell,Interferon alpha 13,ENSG00000233816,IFNA13,P01562,Complement C3d receptor 2,ENSG00000117322,CR2,P20023,NA,NA,NA,NA,brain-->IFNA13-->CR2-->naive B-cell
brain,naive CD4 T-cell,Interleukin 11,ENSG00000095752,IL11,P20809,Interleukin 6 signal transducer,ENSG00000134352,IL6ST,P40189,NA,NA,NA,NA,brain-->IL11-->IL6ST-->naive CD4 T-cell
brain,NK-cell,TNF superfamily member 18,ENSG00000120337,TNFSF18,Q9UNG2,TNF receptor superfamily member 18,ENSG00000186891,TNFRSF18,Q9Y5U5,NA,NA,NA,NA,brain-->TNFSF18-->TNFRSF18-->NK-cell
brain,NK-cell,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,brain-->CCL3L1-->ACKR2-->NK-cell
brain,placenta,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,brain-->CCL3L1-->ACKR2-->placenta
brain,plasmacytoid DC,Interferon lambda 3,ENSG00000197110,IFNL3,Q8IZI9,Interferon lambda receptor 1,ENSG00000185436,IFNLR1,Q8IU57,NA,NA,NA,NA,brain-->IFNL3-->IFNLR1-->plasmacytoid DC
brain,salivary gland,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,brain-->CCL3L1-->ACKR2-->salivary gland
brain,skin 1,TNF superfamily member 18,ENSG00000120337,TNFSF18,Q9UNG2,TNF receptor superfamily member 18,ENSG00000186891,TNFRSF18,Q9Y5U5,NA,NA,NA,NA,brain-->TNFSF18-->TNFRSF18-->skin 1
brain,urinary bladder,Interleukin 9,ENSG00000145839,IL9,P15248,Interleukin 9 receptor,ENSG00000124334,IL9R,Q01113,NA,NA,NA,NA,brain-->IL9-->IL9R-->urinary bladder
breast,adipose tissue,C-C motif chemokine ligand 14,ENSG00000276409,CCL14,Q16627,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,breast-->CCL14-->ACKR1-->adipose tissue
breast,basophil,C-C motif chemokine ligand 14,ENSG00000276409,CCL14,Q16627,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,breast-->CCL14-->CCR3-->basophil
breast,eosinophil,C-C motif chemokine ligand 14,ENSG00000276409,CCL14,Q16627,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,breast-->CCL14-->ACKR2-->eosinophil
breast,eosinophil,C-C motif chemokine ligand 14,ENSG00000276409,CCL14,Q16627,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,breast-->CCL14-->CCR3-->eosinophil
breast,MAIT T-cell,C-C motif chemokine ligand 14,ENSG00000276409,CCL14,Q16627,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,breast-->CCL14-->CCR5-->MAIT T-cell
breast,NK-cell,C-C motif chemokine ligand 14,ENSG00000276409,CCL14,Q16627,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,breast-->CCL14-->ACKR2-->NK-cell
breast,placenta,C-C motif chemokine ligand 14,ENSG00000276409,CCL14,Q16627,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,breast-->CCL14-->ACKR2-->placenta
breast,salivary gland,C-C motif chemokine ligand 14,ENSG00000276409,CCL14,Q16627,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,breast-->CCL14-->ACKR2-->salivary gland
classical monocyte,adipose tissue,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,classical monocyte-->CCL7-->ACKR1-->adipose tissue
classical monocyte,adipose tissue,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,classical monocyte-->CCL2-->ACKR1-->adipose tissue
classical monocyte,adipose tissue,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,classical monocyte-->CCL8-->ACKR1-->adipose tissue
classical monocyte,adipose tissue,C-X-C motif chemokine ligand 11,ENSG00000169248,CXCL11,O14625,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,classical monocyte-->CXCL11-->ACKR1-->adipose tissue
classical monocyte,adipose tissue,C-C motif chemokine ligand 13,ENSG00000181374,CCL13,Q99616,Atypical chemokine receptor 1 (Duffy blood group),ENSG00000213088,ACKR1,Q16570,NA,NA,NA,NA,classical monocyte-->CCL13-->ACKR1-->adipose tissue
classical monocyte,basophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,classical monocyte-->CCL7-->CCR2-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,classical monocyte-->CCL7-->ACKR4-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CCL7-->CCR3-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,classical monocyte-->CCL2-->CCR2-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,classical monocyte-->CCL2-->ACKR4-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CCL2-->CCR3-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,classical monocyte-->CCL8-->CCR2-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,classical monocyte-->CCL8-->ACKR4-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CCL8-->CCR3-->basophil
classical monocyte,basophil,C-X-C motif chemokine ligand 10,ENSG00000169245,CXCL10,P02778,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CXCL10-->CCR3-->basophil
classical monocyte,basophil,C-X-C motif chemokine ligand 11,ENSG00000169248,CXCL11,O14625,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CXCL11-->CCR3-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 13,ENSG00000181374,CCL13,Q99616,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,classical monocyte-->CCL13-->CCR2-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 13,ENSG00000181374,CCL13,Q99616,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,classical monocyte-->CCL13-->ACKR4-->basophil
classical monocyte,basophil,C-C motif chemokine ligand 13,ENSG00000181374,CCL13,Q99616,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CCL13-->CCR3-->basophil
classical monocyte,eosinophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,classical monocyte-->CCL7-->ACKR2-->eosinophil
classical monocyte,eosinophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CCL7-->CCR3-->eosinophil
classical monocyte,eosinophil,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,classical monocyte-->CCL2-->ACKR2-->eosinophil
classical monocyte,eosinophil,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CCL2-->CCR3-->eosinophil
classical monocyte,eosinophil,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,classical monocyte-->CCL8-->ACKR2-->eosinophil
classical monocyte,eosinophil,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CCL8-->CCR3-->eosinophil
classical monocyte,eosinophil,C-X-C motif chemokine ligand 10,ENSG00000169245,CXCL10,P02778,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CXCL10-->CCR3-->eosinophil
classical monocyte,eosinophil,C-X-C motif chemokine ligand 11,ENSG00000169248,CXCL11,O14625,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CXCL11-->CCR3-->eosinophil
classical monocyte,eosinophil,C-C motif chemokine ligand 13,ENSG00000181374,CCL13,Q99616,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,classical monocyte-->CCL13-->ACKR2-->eosinophil
classical monocyte,eosinophil,C-C motif chemokine ligand 13,ENSG00000181374,CCL13,Q99616,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,classical monocyte-->CCL13-->CCR3-->eosinophil
classical monocyte,intestine,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,classical monocyte-->CCL7-->ACKR4-->intestine
classical monocyte,intestine,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,classical monocyte-->CCL2-->ACKR4-->intestine
classical monocyte,intestine,C-C motif chemokine ligand 8,ENSG00000108700,CCL8,P80075,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,classical monocyte-->CCL8-->ACKR4-->intestine
classical monocyte,intestine,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,NA,NA,NA,NA,classical monocyte-->TNFSF13-->TNFRSF17-->intestine
classical monocyte,intestine,C-C motif chemokine ligand 13,ENSG00000181374,CCL13,Q99616,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,classical monocyte-->CCL13-->ACKR4-->intestine
classical monocyte,liver,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,NA,NA,NA,NA,classical monocyte-->TNFSF13-->SDC2-->liver
